Name,Location,Tagline,Category,Website,Founded,Description
Mandi Express,Karachi  Pakistan,From farm to table,Supply & Distribution services,http://www.mandiexpress.pk,2015,It connects farmers directly to consumers who can buy fresh produce straight from the Mandi.
Mangobaaz,Lahore  Pakistan,Online platform which generates original and curated content for the digital generation of Pakistan,Entertainment,http://www.mangobaaz.com,2014,No Description
Marham,Lahore  Pakistan,Marham is currently the largest digital healthcare platform in Pakistan. It helps people to find  ask and consult a doctor online.,Health,https://www.marham.pk/,1st January  2016 ,Marham is currently the largest digital healthcare platform in Pakistan. It helps people to find  ask and consult a doctor online. An online tech-based solution  Marham addresses primary requirements of masses like booking an appointment with a doctor  finding a doctor and asking health-related questions. It also provides practice management software and other services to hospitals and doctors. Marham has helped more than 5 million people in Pakistan through its services.
Markhor,Roosevelt Avenue Sunnyvale  CA 94085 United States,Premium Handcrafted Shoes.,Apparel and Fashion,https://themarkhor.com/,6th June  2012 ,It works with indigenous craftsmen to make handcrafted shoes for the modern gentleman.
Mawazna,Lahore  Pakistan,Welcome to Mawazna.com  Compare Insurance Policies  Credit Cards  Bank Accounts  Personal & Car Loan rates and Broadband plans in Pakistan. ,Finance & Banking,https://www.mawazna.com/,10th July  2015 ,"Mawazna.com is a comparison website that helps you to save your time & money when buying or applying for any financial services products in Pakistan. Now you can compare and select all banking  insurance and broadband products from anywhere  anytime  any device. Visit us at mawazna.com if you are looking for best car insurance in Pakistan  travel insurance in Pakistan  health insurance in Pakistan  auto loans or car financing  personal loans  home financing  credit cards  term deposit accounts  investment accounts  life insurance  current accounts  foreign currency accounts  broadband Internet packages  AME finance and SME bank accounts etc. ""Mawazna Karein Apne Liye  Apno Key Liye"""
Maya's Closet ,Karachi Pakistan,Mayaâ€™s Closet is the best option for imported childrenâ€™s clothing in Pakistan. Good quality with amazing service! ,Children,http://www.mayascloset.pk/,28th October  2014 ,Mayaâ€™s Closet is the best option for imported childrenâ€™s clothing in Pakistan. Good quality with amazing service! Mayaâ€™s Closet has everything in stock  Carterâ€™s  H&M  Childrenâ€™s Place  Zara Baby  Baby Gap and many more. Cash on delivery is available for all of Pakistan  delivery in 2 to 5 days. Mayaâ€™s Closet has a large variety of branded toys and accessories available for children. Bath towels  bibs  shoes  wash cloths  socks  caps  sets. Mayaâ€™s Closet was the first online children clothing store in Pakistan to have everything in stock and available for delivery.
MDFronts,Islamabad  Pakistan,MDFRONTS is a leading telehealth provider of online and on-demand healthcare delivery services and software.,Telehealth  Software,http://www.mdfronts.com,1st January  2017 ,When you got to the doctor you want a compassionate expert who understands exactly whatâ€™s wrong and can thoroughly explain  whatâ€™s happening why itâ€™s happening in which treatments are best for you. Unfortunately  thatâ€™s not the experience many patients have too often doctors are rushed and distracted with no time to explain  and visiting multiple physicians can result in different opinions this frantic environment leaves patients feeling uncertain about their diagnosis. Thereâ€™s a better way to get a doctorâ€™s care and attention itâ€™s called telehealth and itâ€™s the future of healthcare delivery. MD Fronts is the delivery of health-related services and information via telecommunications technologies  MD Fronts platform offers you secure private and in-depth sessions with highly qualified and experienced doctors from the best teaching hospitals in the Pakistan. MD Fronts offer one-to-one sessions where doctors can take their time to listen to your problems answer your questions and address your concerns. MD Fronts comes with a slew of other benefits youâ€™ll save time and have more privacy by seeing your doctor from the comfort of your home youâ€™ll be consulting with the most qualified physicians in the Pakistan and your medical information will be protected securely by our platforms.
Medium.pk,Lahore  Pakistan,Promoting entrepreneurship in Pakistan. Free small business advice and mentorship.,News Media,https://medium.pk,25th October  2016 ,A platform for startups and entrepreneurs in Pakistan to learn from professionals in their niche. Getting free mentorships  meeting like-minded folks and finding investors.
MedMee,Lahore  Pakistan,Digitizing the healthcare industry and reducing medication/medical errors to a minimum.,SaaS  Software  Cloud,http://medmee.co,1st June  2016 ,We are working to digitize the healthcare realm and bring cloud solutions to everyone and to reduce medication errors to a minimum.
MedOnline.pk,Karachi  Pakistan,Online Pharmacy Store in Pakistan - Medonline.pk,E-commerce  Online Pharmacy  Healthcare,http://medonline.pk/,1st January  2016 ,Medonline.pk is Pakistan's premier online medical store which provides a platform to buy drugs and medicines online with free home delivery.
MedOnline,Karachi  Pakistan,Premiere Online Pharmacy Store in Pakistan - An Arpatech Technology Ventures Company.,Online Pharmacy  Healthcare,http://www.medonline.pk,1st August  2016 ,Medonline.pk brings you the convenience of shopping 24/7 online. Pakistanâ€™s leading online pharmacy store is an astute choice for medical supplies. Currently delivering in Karachi only we bring you a unique virtual pharmacy that allows you the ease of ordering online medicines and getting them delivered free of any charges on your doorstep. With three easy steps  search  order and express delivery we make sure our customers are served on priority basis In moments where one does not feel like making to the drug store  Medonline.pk will serve you in the coziness of your couch. Now you can easily buy prescription and over the counter products online from the leading online pharmacy. Just sit back and relax  while we take care of your needs. We are not simply about delivering you medicines online rather Medonline.pk brings you the cheapest medicines online. Now save yourself that extra penny and have the best online medicines.
MeraPlan,Islamabad,MeraPlan is a platform for all the travel  tour  hajj umrah services by providing you quality services in cheapest rates.,Travel & Tourism Services,http://meraplan.com,13th January  2016 ,MeraPlan is a platform for all the travel  tour  hajj umrah services by providing you quality services in cheapest rates.
Merayi,Karachi  Pakistan,The complete artisanal marketplace keeping alive all forms of heritage & forming a community supporting local enterprises worldwide.,E-Commerce  Community  Artisanal Marketplace,http://merayi.com/,14th August  2016 ,"Means Persian for heritage. The complete artisanal marketplace online and offline  keeping alive all forms of heritage & forming a community supporting local enterprises worldwide. Currently operating in Pakistan. Also one of the forces behind the successful series of Exhibitions ""Colors of Pakistan""."
Mesoft Labs,Nowshera  Khyber Pakhtunkhwa  Pakistan,Mesoft Labs is a Pakistan base software house and Islamic research center headquartered in Amangarh  Nowshera Khyber Pakhtunkhwa  Pakistan.,Services  Software House,https://www.mesoftlabs.com,5-Feb,Mesoft Labs is a Pakistani software house and Islamic research center (division of Mesoft Worldwide) headquartered in Amangarh  Nowshera Khyber Pakhtunkhwa  Pakistan that develops  manufactures  designs  and supports a wide range of products and services related to computing. The company was founded by Mansoor Elahi on February  2005.
Mesoft Worldwide,Nowshera  Khyber Pakhtunkhwa,Mesoft Worldwide is a pioneering global Islamic media company and Software House.,Services,http://www.mesoftworldwide.com/,5-Feb,Mesoft Worldwide is a pioneering global Islamic media company and Software House founded by Mansoor Elahi with particular focus on audio  video  development  publishing. It seeks to educate and entertain within a framework which is both inspiring and compels social change. It is headquartered in Pakistan with operations in Homeland  Canada  Italy and the USA. 
Messiah,Karachi  Pakistan,Messiah is an android based Emergency Alert Messenger. Use it and feel safe.,Apps,http://messiahapp.com/,31st January  2014 ,Messiah is a civic startup which has a citizen-centric support model. Messiah is an emergency first responder app designed to relay distress signal for the user in the case of an accident or emergency. Messiah relies on a community of Users (Samaritans) Which help each other in the case of emergencies. Messiah started off as a civic app in featured in the Peshawar Fellowship program.Messiah's mission is to make cities safer and use ICT technologies to Respond to Emergencies in the shortest time possible. Messiah is a community effort which allows you to be an active part of the community and become a good Samaritan by helping those who may be in distress. It is an android app that can tells your loved ones about your location when you are in distress or danger. In case of an accident if a person is unconscious  the app's accident detection mode detects and lets the relatives know about the place of the accident automatically. The community of Samaritans (Messiahs) are ready to help you whenever you need help.
Mezaaj,Lahore  Pakistan,We intend to provide a business platform for fashion graduates to launch them into the market.,Fashion  E-commerce,http://mezaaj.com,27th October  2014 ,We intend to provide a business platform for fashion graduates to launch them into the market. 
Micropower Labs,Karachi  Pakistan,Micropower Labs is a technology innovation company focused on creating next generation devices and gadgets for day to day use. ,Technology,http://www.micropowerlabs.org/,Not Provided. ,No Description
Mil Gaya,Karachi  Pakistan,Mil Gaya is a discovery and booking app on mobile. Mil Gaya aims to be a one stop point for consumers to reach out to their favorite brands ,Software,No Website,Not Provided. ,Mil Gaya is a discovery and booking app on mobile. Mil Gaya aims to be a one stop point for consumers to reach out to their favorite brands and services  know their locations and phone numbers and make reservations and booking right from their cell phones. We have already listed over 1000 retailers and services and are now working on the booking engine to enable direct bookings within the app.
Mixit-Technologies,New York,MIXIT is a broker-neutral  multi-asset trading platform offering an Order/Execution Management System (OMS/EMS)  FIX connectivity  and compl,Application Development  Financial  Software Product,http://www.mixittech.com/,2001,MIXITTECH is a world class technology provider to the domestic and international financial services industry  providing innovative electronic straight through processing solutions. MIXITTECH offers a secure high performance suite of products including order and execution management workstations and order routing networks supporting both buy and sell side institutions and Stock Exchanges. MIXITTECH connects broker/dealers  financial institutions  international routing networks  extranets  exchanges. Our expertise  advanced technology  neutrality  and commitment to the highest level of service will provide the foundation for our customers business to prosper.
MobileCenterPK,Karachi  Pakistan,Get all the latest information on mobile phones prices in Karachi and Pakistan. Get all the best mobile phone prices in Pakistan.,mobilephones,http://www.mobilecenter.pk/,18th January  2018 ,Get all the latest information on mobile phones prices in Karachi and Pakistan. Get all the best mobile phone prices in Pakistan. Mobilecenter.pk provides best reviews of top mobile phones in Pakistan. Get the best mobile phones prices in Pakistan. We best reviews of all original and geniune mobile phone of top brands like  Alcatel Apple Asus  BlackBerry  Club Mobile  G'Five  Google GRight  Haier  HTC  Huawei  Infinix  Lenovo  LG  Meizu  Microsoft  Motorola  Nokia  OPPO  Samsung  Sony  Sony Ericsson and we are the leading online destination to buy all kinds of mobile phones at comparative prices in Pakistan. Check mobile phones prices news  reviews and much more. Do contact us. Phone: +923343751868
Mobile Planet,Islamabad  Pakistan,Mobile Planet is the Pakistan's Best Price comparison and discovery platform for Mobile Phones. ,Website,http://www.mobileplanet.com.pk/,1st December  2016 ,Mobile Planet is the Pakistan's Best Price comparison and discovery platform for Mobile Phones. Get the latest mobile phone prices in Pakistan and compare mobile phones.
MobilesRingtones.Com,Lahore  Pakistan,Mobiles Ringtones is a complete ringtones app providing variety of ringtones displayed in various categories from all over the world.,website,https://www.mobilesringtones.com,6th April  2014 ,http://www.mobilesringtones.com. The App is one of a kind and unique in its category. It allows user to download and set ringtone in just few clicks. Audio files are small and popular when it comes to ringtones keeping that in mind the search system has been designed and functioning in a way where user can easily locate the ringtone of his/her choice. Although the very special tagging feature is also available user can easily navigate through the app by using its tags. All the latest technology has been used to develop this app  However there is always a space for upgrade and we are upgrading.
Modemetric ,Lahore  Pakistan,Increase BI security  predictability and data performance Harmonize all data sources across your enterprise Build a flexible self-service ,software,http://www.modemetric.com,2006,Modemetric is redefining what is possible: bringing speed  flexibility and power to BI for better  faster business insights.
ModulusTech,Karachi  Pakistan,ModulusTech is revolutionizing affordable housing through an innovative flat-pack housing design that can be assembled in 3 hours. ,Hardware,http://www.modulus-tech.com,1st January  2016 ,ModulusTech makes flat-packed houses that are extremely cost effective and can be assembled in as little as three hours. The houses come with all utilities integrated  whilst being able to bear harsh climates  earthquakes and cyclones. Making them a perfect solution for large scale migration in cases of refugees  fast track labor colonies to help mobilize teams as soon as possible  and an emergency response shelter to help resettle and provide safety to inhabitants. Hence  whenever there is a large influx of people in an area in a short span of time  ModulusTech helos provide a feasible housing solution and build large scale colonies within a month.
Muami Tech,Gujrat  Pakistan,Muami Tech is a Web Design Agency which focuses on designing unique interactive designs and user experiences for better user conversion.,Consulting  Web Design,http://www.muamitech.com,2014,No Description
Mungalo.pk,Karachi  Pakistan,Mungalo is an e-commerce grocery delivery startup that delivers groceries to its customers through the hyper local delivery model. ,E-Commerce,https://www.mungalo.pk/,2nd September  2017 ,Mungalo is a grocery delivery e-commerce portal that works on a hyper local model and serves it's customers through its web portal and network of stores.
MWM Studioz,Karachi  Pakistan,A conversion marketing agency with expertise in helping textile  fashion  apparel and retail brands succeed with their own eCommerce sites.,Consulting  Advertising,http://mwmstudioz.com/,1st July  2013 ,MWM Studioz is an agency that serves entrepreneurs  not marketers. This means we - generate sales  not likes & shares. - focus on profit metrics  not vanity metrics. - are incentivized to drive shoppers to your online & offline store  not browsers. Our clients include - Nike  - Charles & Keith - Bed & Bath - JB Saeed Studio - Oscar Tuition's and countless others retaining our services the long run. 
My Events Pk,Karachi,Myevents.pk is the best website that will bring you all the information about all the events in major cities of Pakistan. My Events PK is th,E-Ticketing,http://www.myevents.pk/,21st March  2016 ,My Events PK is the platform where event organizers can post or publish their ads of the events to get more and more attention on their events. . My Events PK has got all the information related to the events posted on their website such as venue  contact details  email and other information. My Events is also offer online ticketing and delivery service for events.
My Mohalla,karachi  Pakistan,My Mohalla is an organization that is working towards building safer  stronger and social communities in Pakistan.,Software,http://mymohalla.pk/,2nd January  2017 ,What is My Mohalla? My Mohalla is an organization that is working towards building safer  stronger and social communities in Pakistan. How? My Mohalla has 3 subsidiary companies: 1- My Mohalla location based private social network. It is a social utility mobile application that helps you break the ice between you and your neighbours. On My Mohalla you can give advice  ask for recommendations  buy  borrow and sell items  alert your neighbours in case of emergency or distress  take part in community events together and ultimately get to know who your neighbours are. It's not about establishing local contacts on 2- 'My Mohalla Events' organizes local events to promote the spirit of community in neighbourhoods. The best thing about being involved with festivals and events is the opportunity to help build a community  foster a sense of pride within a community  and engage a community. The benefits last well beyond the event  as people bring their connections and collective knowledge and skills to improve the community. 3- 'My Mohalla eMarket' is a hyperlocal marketplace dedicated to encouraging Pakistani consumers to shop locally  and to celebrating the small businesses that serve as the backbone of our neighbourhoods.
My Tabeeb,Karachi  Pakistan,MyTabeeb is an idea to make information related to health accessible in an interactive and convenient way.,Healthcare,http://www.mytabeeb.pk/,2015,No Description
My Travel Soltuions ,Rawalpindi  Pakistan,Online Travel Agency & Digital Travel & Tour Retailers. ,Services  Online Travel Agency ,http://www.mytravelsolutions.com.pk,5th September  2015 ,Online Travel Agency. We have digitized the traditional ways of buying & booking a flight or travel arrangements. We have brought on board Travel Consultants who deal with queries via customer support service and offer only the best deals there are to offer. The clients can search for their fares & travel dates online  select the fares and make the purchase online as well. We intend to make domestic & international travel a matter of few clicks only !! 
MyAdventure.PK,Lahore  Pakistan,MyAdventure.pk is Pakistan's top Travel agency with experienced Travel agents and skii players. ,Tourism  Travel,http://myadventure.pk,1st January  2016 ,Myadventure.pk vows to promote skiing and tourism as it is still unknown to many people. Besides skiing it is also among the priorities of Myadventure.pk to explore the hidden beauties in Gilgit-Baltistan which have not been exposed to the world yet. Myadventure.pk was an initiative by some passionate ski players of Naltar in order to promote skiing in the country as well as International. Every year  in winter  myadventure.pk held sessions on Skiing and ice-skating in Naltar and Attabad respectively. Myadventure.pk is a team of professional ski players who have first-hand knowledge about the Naltar slope  weather and all other important factors involved in culminating a successful tour 
MyPaisa,Islamabad  Pakistan,MyPaisa helps you compare and choose financial services including car insurance  life insurance  loans and broadband across Pakistan,FinTech,http://mypaisa.pk,21st March  21 ,MyPaisa is a financial comparison platform that allows people across Pakistan to choose the most suitable financial service for them. Services on offer including car insurance  life insurance  broadband  and loans from a variety of banks and service providers.
Edjunction,Lahore  Pakistan,Facebook for schools,Education,http://www.edjunction.com,2014,Connecting homes to schools.
NAVI Incorporation Pvt Ltd,Karachi Pakistan,NAVI Incorporation Pvt.Ltd Â® is a full service creative studio with expertise in Design & Marketing.,Consulting  Arts & Marketing,http://www.naviincorp.com,30th July  2015 ,NAVI Incorporation Pvt.Ltd Â® is a full service studio of superhuman strength and cleverness. With world class strategic  analytic and creative professionals working side by side  we own the one of a kind powerful combination of intellect and fairy dust that yields iconic ass kicking solutions for our clients. We are the guys you want on your side.
Nearpeer,Lahore  Pakistan,Nearpeer is a Massive Open Online Course (MOOC) platform that offers institution-specific online video courses.,Education,No Website,2015,No Description
Nerd Feeds,Karachi  Pakistan,We aim at creating a technologically aware segment that understands the basics of innovation. ,Blogs  Technology  Entrepreneurs,http://nerdfeeds.com/,6th October  2016 ,Nerd Feeds is a complete package of information related to the world of Technology. We are a community that believes in imparting and sharing knowledge. This way we aim at creating a technologically aware segment that understands the basics of innovation. 
NexDegree ,Karachi  Pakistan,We work with businesses of all sizes to deviler valuable solutions using technology.,Information Technology and Services,http://nexdegree.com/,2005,We provide high quality infrastructure performance consulting  data analytics services & develop products relating to our core competencies
Nutright,Lahore  Pakistan,Losing weight can be hard  Nutright makes it easy.,Health & Fitness,http://nutright.com,1st January  2016 ,Nutright is a health & fitness app that helps people lose weight and stay fit by eating right and working out. We offer customized diet plans specially made for people of Pakistan to start healthy dieting  we also offer workout video routines to help you stay active and we have a dedicated coach for every premium member to make sure that you do everything right and reach your fitness goals. Mobile App: https://play.google.com/store/apps/details?id=com.nutright.app
Oarce,Karachi  Pakistan,Oarce is an organization that works for the execution of innovation and to preserve and protect the strength of businesses.,Consultancy  Services,http://www.oarce.com/,16th October  2016 ,Itâ€™s a beginning of a new era  with support and success benefitting everyone around the globe  Oarce is the name of that era. The extraction of Oarce from the word Source  has a job to serve the people and widening the eyes of those who agrees to make a change. Oarce not only has a mission to endeavor the best and the finest systems to incorporate talent  but it aims to become the source that offers to nurture every idea that has power to break the walls of the uncharted supremacy. The endangered consultancy for young entrepreneurs has been a long lost phenomenon  yet Oarce pledges to bring it back and be able to provide it securely by eliminating the rapid extinction of potential ideas. Because what Oarce believes is that  at this very stage of time every sector  whether it is Technology or Education or even Business  each one has been a brutal victim of continual torture via personal relations and lack of change and innovation. Oarce will initiate aid programs  assistance for efficient executions and foremost building up an alliance for neglected talents. Oarce stands upright on its three core pillars of structural industries to breed  bolster  cherish  discipline  educate and push them off the nest to fly into the wilderness.
objecsys,Karachi  Pakistan,Empowering creative around Pakistan with Made in Pakistan 3D Printers and 3D Printing solutions. ,Consulting  Industrial Robotics and Manufacturing,http://objecsys.com,23rd July  2013 ,Objecsys is Pakistan's premier 3D Printing company  providing 3D Printing solutions for enthusiasts  hobbyists and Industrial applications. 
Obortunity,Islamabad  Pakistan,A company focusing on the cultural economic and technology opportunities emerging under China's CPEC and OBOR (One Belt One Road) initiative,Consultancy,http://obortunity.org,1st December  2016 ,"Bearing in mind the rise of Asia  ""Obortunity"" â€“ a technology-based startup â€“ aims to bring you closer to a world where new chapters of prosperity and opportunity continuously unfold. As the Asian Dream dawns upon us  let Obortunity be your gateway to realising this dream together! With its operations branched out in the fields of cultural connectivity  economic cooperation and technological linkages  we are focusing on integrating societies  eliminating barriers for businesses  and innovating in technology to ensure that Pakistanis in particular  and Asians in general  benefit from the One Belt  One Road Initiative extensively."
OneByte,Lahore  Pakistan,An award winning mobile app design and development company  focused on converting ideas into reality.,Consulting  Mobile Development,http://www.onebytellc.com,25th January  2014 ,OneByte has worked with diversified range of startups and well known enterprises to bring fresh ideas to life at both local and international levels. We are the team for all your mobile related solutions.
Onimals.pk,Karachi  Pakistan,Onimals.pk is a one-stop platform for pet lovers in Pakistan! to help them find products  get pet services and ask relevant questions.,Social Network,http://onimals.pk,2015,Onimals.pk is a one-stop platform for pet lovers in Pakistan! to help them find products and get services for their pets  can ask relevant questions on discussion forum and can also share their experiences on their pets' timeline. Pet lovers can easily find nearby vets with directions.
ApniDukan.pk,Karachi  Pakistan,Online Shopping in Pakistan. Best buy and Sell regulars and general items at Reasonable Price to all Pakistani awam! Keep on kharidari,E-Commerce,http://www.apnidukan.pk/,2014,The aim of Apnidukan.pk is to provide you the best Quality deals of products and services in all over the Pakistan no matter where you are. we will provide you up-to 90% off on lots of deals by which you will save your valued cash. if you are with Apnidukan.pk so you don't have to be worry about the prices of the products because we are offering the deals with up-to 90% discount after a big survey in Market.
Online Shopping in Pakistan | ApniDukan.pk,Karachi  Pakistan,Online Shopping in Pakistan. Best buy and Sell regulars and general items at Reasonable Price to all Pakistani awam! Keep on kharidari,Retails & Shop,http://www.apnidukan.pk/,2014,The aim of Apnidukan.pk is to provide you the best Quality deals of products and services in all over the Pakistan no matter where you are. we will provide you up-to 90% off on lots of deals by which you will save your valued cash. if you are with Apnidukan.pk so you don't have to be worry about the prices of the products because we are offering the deals with up-to 90% discount after a big survey in Market.
OnlineBachat.pk,Lahore  Pakistan,We are selling online Products to end users.,E-Commerce ,http://www.onlinebachat.pk,1st October  2016 ,E commerce Business
Optimus Digitals,Karachi  Pakistan,Optimus Digitals is a revolutionary organization of diligent  enthusiastic & heartfelt individuals functioning to provide epic IT services.,Consulting  Information Technology,http://www.optimusdigitals.com,15th February  2014 ,Optimus Digitals sprouted from a single cell  nurturing to a whole unit of professionals thriving to enhance our expertise and provide the ultimate experience of IT solutions to our valuable customers. From website to apps development  our customers will attain the best deals from our platform.
OR97,Sargodha  Pakistan,No Tagline,Ecommerce,https://www.or97.com,1st November  2015 ,OR97 is providing Cheap IOT Hardware in all over the pakistan with Cash on Delivery Service. aim to support the rural areas students  researchers  professors to work on their dreams.
Oreference,Karachi  Pakistan,Oâ€™Reference is a mixture of passion and brilliance. We are the entrepreneurs of next generation and provide software and design solutions.,Software,http://oreference.com,17th January  2016 ,OReference is new and the fastest growing name in the IT industry with a small but remarkable portfolio and services. OReference is a dynamic team of freelancers leverage extensive trends research  refined technology  and providing mature web  mobile and desktop solutions to assist our clients in achieving higher levels of performance  cost savings and efficiency. Our approach is always focused on the results that our clients want to achieve. To ensure objectives are achieved we developed initiatives that utilize full potential of our portfolio.
Orient Electronics,Lahore  Pakistan,Orient Group of Companies are manufacturing an exclusive range of state of the art products like air conditioners  refrigerators  microwave ,Manufacturer of Electronics,http://orient.com.pk/,1st January  1957 ,Orient Group of Companies are manufacturing an exclusive range of state of the art products like air conditioners  refrigerators  microwave ovens water dispensers and vacuum cleaners
OuttaBox,Karachi  Pakistan,A Training & Consultation company with the motto of kicking all the â€œsilver bulletsâ€ out of their league!,Training & Consultation,http://outtabox.co/,Not Provided. ,Provides tailored solutions with the use of highly focused  technologically proficient â€œout of the boxâ€ yet unconventional solutions!
Paintistan,IBA Center for Entrepreneurial Development  Karachi  Pakistan,Online Home Decor Service,Home Decor,http://www.paintistan.com,11th August  2016 ,Online Home Decor Service
Pak Electrica,Lahore  Pakistan,Pak Electrica provides unique and efficient security solution to consumer. Initially focusing on automotive and surveillance,Electronics,http://www.pakelectrica.com,12th June  2017 ,Pak Electrica has designed a WIFI based Timed Immobilizer for motorbikes. Its a fully automated device that secures your motorbike during snatching and theft.
Pakistani Lad,Islamabad  Pakistan,Pakistani Lad gives you the best  funniest and most trending content from Pakistan.,Digital Media,http://pakistanilad.com,1st October  2016 ,Pakistani Lad gives you the best  funniest and most trending content from Pakistan.
PakWheels.com,Lahore  Pakistan,Pakistan's # 1 Automobile Portal! Committed to help you buy and sell cars online. Follow us for the hottest automobile news  updates and vid,automotive,http://www.pakwheels.com/,18th July  2003 ,PakWheels.com is Pakistanâ€™s #1 automotive portal. Buy/Sell cars  Reviews  Automotive News and Discussions. Like us for everything about Automobiles.
Parhakooo,Hyderabad  Pakistan,Parhakooo is an Education Network for those students who are willing to take admission in universities and want better preparation.,Website  Mobile Application,http://parhakooo.net,15th February  2017 ,Parhakooo is an Education Network for those students who are willing to take admission in universities and want better preparation for the tests which are taken by the universities. here we offering standardized test preparations MCAT  ECAT including SAT  NUST. Parhakooo also provides tutoring and admission counseling as well as. in our Parhakooo Education Network you can discuss your problems regarding their subjects in discussion forums where Parhakoooâ€™s Instructor and existing students can help regarding their problems.
Parhao.pk,Karachi  Pakistan,Parhao.pk is a #1 source of bridging education with an entirely effective act of changing the infrastructure of how literacy is supplied.,Website,http://www.parhao.pk/,16th October  2016 ,Parhao.pk (a subsidiary of Oarce) is set to become Pakistanâ€™s #1 educational website  our beliefs are what positions us apart from the most recent literal development in this country. We believe in catering the finest services upon intelligent user experience. Our values are accustomed to create an outstanding infrastructure that works on interdimensional reality. Parhao.pk is a nerve center of futuristic literal development. We gravitate to become an open source for those who are going to use just one medium  one platform and the only channel to grow academically.
Pata.pk,Faisalabad  Pakistan,ePata for every Business  providing vendors for weddings  home construction and more. combining ecommerce and directory,Business Directory,http://pata.pk,26th January  2016 ,Providing every business have presence on internet  offer products to sell and book on company page  people can find desired business on map  buy their products  book a service.
Patari,Lahore  Pakistan,Pakistan's largest Pakistani music streaming platform.,Music,http://patari.pk,15-Feb,Largest portal of Pakistani music under the sun. Prettier than Mathira  cooler than Meera  and so simple that your cat will be headbanging to Abida Parveen in no time.
Paysys Labs Private Limited,Karachi  Pakistan,Paysys Labs provides reliable and secure technology platforms that enable Banks  Telcos and Businesses to offer their customers a vast array,Software   Fintech,http://paysyslabs.com,1st February  2016 ,We help clients  including financial institutions  payment service providers  mobile operators and even startups  by studying opportunities  developing business models  designing partnerships and formulating strategies â€“ allowing them to define value propositions and manage project implementations effecicitently. Paysys Labs tailors solutions around key issues like interoperability  customer behavior challenges  product innovation and agent management. We strongly believe that financial services should be inclusive  and that innovation is key to providing stable digital financial product offerings that will change the digital landscape. 
Peanut Labs,San Francisco  California,Peanut Labs provides online market research  social monetization  and advertising services for publishers to maximize their earnings.,Social Media,http://www.peanutlabs.com,2005,Peanut Labs is an innovator in online market research  monetization and advertising. We understand the science behind connecting people and delivering industry leading results. We match online consumers who are interested in voicing their opinions  trying products and discovering new websites with companies seeking insights  engagement and new customers. And we do it all in a way that is fun  relevant  and most importantly  rewarding for everyone. Since 2007 weâ€™ve served millions of online consumers  worked with thousands of researchers  advertisers and online communities of every size.
Peekaboo Guru,Karachi  Pakistan,Peekaboo Guru is a Life-Style/Travel Guide along with aggregated Brand Offers & Alliances discounts information.,Life-Style,https://peekaboo.guru,1st August  2015 ,No Description
Pen A Code Technologies,Lahore  Pakistan,Revolutionizing shopping! ,Software Development  Portals  Online Shopping,http://www.penacode.com,19th November  2013 ,Enhancing user shopping experience.
PerkUp,Karachi  Pakistan,PerkUp helps you get loyalty rewards from different businesses in the country and you can also get loyalty cards.,Rewards,https://getperkup.com/,2015,No Description
Photolinga,Karachi  Pakistan,Photolinga is an online marketplace for hiring photographers. ,Professional Marketplace,http://www.photolinga.com,9th December  2015 ,Photolinga (photolinga.com) is an online marketplace for hiring photographers. 
Pk-Legal and Associates,Rawalpindi/Islamabad,Pk-Legal and Associates is a registered law firm offering a variety of legal services and have physical presence in 4 cities.,Legal Services Providers  Services,http://pklegal.org,3rd January  2008 ,Provide best and affordable advocacy and legal consultancy services to its clients. People at Pk-Legal believe in hard work  honesty and loyalty with their clients.
PlaceMe.pk,Peshawar  Pakistan,Pakistan 1st Platform helps seeking hostels bed space rooms and work spaces around the country.,Real Estate  Tourism  Hospitality,http://placeme.pk/,16-Feb,PlaceMe helps seeking hostels bed space rooms and work spaces around the country.
Pliro,Islamabad  Pakistan,Let's improve the way we manage healthcare in Pakistan. Whether you're a patient or a doctor  Pliro has many advantages for you! ,Healthcare,https://www.pliro.com,16-Mar,An integrated healthcare platform for advertising  appointments management  EMR and billing.
POBB,Karachi  Pakistan,POBB provides required blood bag details nearest to your current location within the city or country by just one click.,Health ,No Website,Not Provided. ,In case of a medical emergency  a person has to contact the blood banks physically or via phone call and it is physically not possible to access multiple blood banks at the same time. So  POBB provides the required blood bag details nearest to his current location within the city or country by just one click which can save many lives.
Pohanchao.pk,M-22  Al-Ameen Tower  Nipa Chowrangi  Karachi Pakistan.,We are delivering from all super stores of Karachi. People just need to select store and place order through website.,E-Commerce Website,http://www.pohanchao.pk,15th August  2016 ,We are delivering from all super stores of Karachi. People just need to select store and place order through website.
PoondiApp,Islamabad  Pakistan,PoondiApp is the fun way to connect with new and interesting people around you  see where they are in real-time  and discover poondi spots.,App,http://poondiapp.com,1st March  2016 ,PoondiApp allows you to explore new happening places around you. Not only that  it tells you how many of your friends are there right now  even if they are not  you get clear idea of how many people are there at that moment allowing you to communicate with them. This feature is something completely different from all other apps till date. And of course  it has features of your personal messenger (messages  videos and picture sharing)  your dating app (you can connect with anybody of your liking) and location app (shows real time location of your contacts and people nearby) all in one.
PredictifyMe,Raleigh  North Carolina,Code for Life,Software,http://predictify.me/,29th May  2014 ,Predictify.me was born from the idea that the problems that we face as a society  however complex  are solvable.
